last_name, first_name,player_id,year,pitch_hand,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z
Mantiply, Joe,573009,2022,L,91,2208,13.2,-21.6,80.8,,,,82.6,1702,16.5,-40.7,81.1,2336,-6.6,-43.4,90.4,2190,18.3,-29.4,,,,,,,,
Rogers, Taylor,573124,2022,L,93.6,2223,8.5,-22.7,81.7,2693,-14.1,-40.4,,,,,,,,,94.3,2168,17,-23.2,,,,,,,,
Stroman, Marcus,573186,2022,R,92.4,2425,-4.2,-18.8,83.3,2672,13.4,-38.3,,,,,81.3,2531,16.2,-44,92,2266,-9,-29,89.4,2576,2.6,-30.9,87,1713,-12.1,-34.4
Thielbar, Caleb,573204,2022,L,92.8,2298,3.2,-12.3,84.1,2368,-14.3,-39.8,82.7,1101,3.8,-28.3,73,2455,-10.5,-68.3,,,,,,,,,,,,
Kikuchi, Yusei,579328,2022,L,94.9,2270,11.5,-13.6,84.7,2353,-3.1,-34.5,87,1563,10.5,-28.1,,,,,,,,,91.1,2255,0.3,-21.9,,,,
Adam, Jason,592094,2022,R,94.8,2654,-6.9,-13,83.4,2719,13.1,-43.3,90,2016,-16.4,-31.8,79.6,2706,16.6,-52.2,,,,,,,,,,,,
Gausman, Kevin,592332,2022,R,95,2265,-10.5,-13.1,86,2198,1.1,-35.1,84.5,1490,-8.5,-31.1,,,,,,,,,,,,,85.2,1571,-15.2,-33.1
Gray, Jon,592351,2022,R,95.9,2015,-11.4,-17.2,85.8,2467,10,-32.5,88.7,1455,-14.2,-26,77.8,2597,14.5,-56,,,,,,,,,,,,
Hembree, Heath,592390,2022,R,94.2,2320,-8.7,-13.7,,2645,8.4,-31.8,,,,,79.5,2659,10.1,-52.4,,,,,,,,,,,,
Ray, Robbie,592662,2022,L,93.4,2282,6.7,-13.4,89.6,2190,-1.5,-28.3,86.9,1759,10.5,-23.1,79.7,2106,-2.5,-43.7,93.3,2190,15.4,-18.8,,,,,,,,
Sampson, Adrian,592716,2022,R,92.5,2075,-10.2,-17.3,87.7,2616,10.4,-41.7,85.1,1816,-15.9,-31.6,,,,,91.9,2003,-14.4,-21.3,84.9,2493,3.3,-37.6,,,,
Sanchez, Aaron,592717,2022,R,92.4,2140,-11.2,-18.2,,,,,87.8,1708,-15.8,-29.3,79.1,2632,12.8,-54.6,92.1,2131,-16.4,-22.5,,,,,,,,
Shreve, Chasen,592741,2022,L,90.6,2338,10.7,-15.6,88.6,2272,-5.9,-47,,,,,,,,,,,,,,,,,82.9,989,11.3,-35.8
Smith, Caleb,592761,2022,L,91.9,2429,10.9,-13.9,79.3,2332,-3.1,-29.2,83.6,2130,13.7,-24.2,78.9,2410,-5.3,-48.6,,,,,,,,,,,,
Smyly, Drew,592767,2022,L,,,,,85.2,,,,82.6,1300,6,-29.2,78.7,2119,2.6,-44.2,92.6,2158,8,-14.8,88.6,2103,3.6,-23.6,,,,
Stanek, Ryne,592773,2022,R,98.3,2307,-10.2,-10.8,81.4,2513,2.3,-38,,,,,,,,,,,,,,,,,88.6,1040,-12.3,-31
Syndergaard, Noah,592789,2022,R,94.1,2136,-5.8,-16.7,86.2,2153,5.8,-36.7,88.5,1543,-15.1,-26.8,76.4,2131,11.3,-47.8,93.6,2125,-14.1,-20.8,,,,,,,,
Taillon, Jameson,592791,2022,R,94.1,2370,-5.7,-13.2,,2556,6.2,-32.6,87.7,1845,-14,-24.7,81.1,2734,9.2,-51.9,94.2,2298,-13.6,-16.2,90.7,2533,2.9,-20.7,,,,
Velasquez, Vince,592826,2022,R,93.2,2417,-5.1,-13.1,77,2502,6.5,-33.8,88.1,1541,-12.2,-28.4,81.5,2361,4.4,-50.6,91.9,2259,-12.3,-18.5,,,,,,,,
Walker, Taijuan,592836,2022,R,93.7,2149,-10.1,-14,,2403,5.3,-32.6,,,,,75,2226,7,-60.5,92.9,2023,-15.2,-18.9,88.6,2329,1.5,-23,88.8,1447,-10.8,-32.6
Wick, Rowan,592858,2022,R,94.9,2255,-2.8,-12.7,80.9,2149,11.8,-37.5,82.9,723,-12.6,-37.4,76.8,2604,7.5,-65.6,91.7,1777,-12.9,-20.1,93.1,2240,2.5,-16.9,,,,
Williams, Trevor,592866,2022,R,91.2,2242,-6.9,-19.9,84.7,2248,5.6,-37.1,84.4,1797,-13.9,-33.6,78.6,2256,11,-42,89,1918,-15.6,-30.9,,,,,,,,
German, Domingo,593334,2022,R,92.7,2539,-11,-15.7,81.3,,,,85.9,2368,-17.9,-28.5,81,2617,1.3,-45,92.7,2476,-17.5,-22.8,,,,,,,,
Montas, Frankie,593423,2022,R,96.1,2356,-6.3,-12.8,86.5,2410,6.2,-32.9,,,,,,,,,95.6,2243,-15.5,-18.4,89.5,2397,4,-27.8,86.4,1467,-12.1,-33.4
Neris, Hector,593576,2022,R,94.3,2448,-10.4,-13.9,81.3,1975,1.7,-29.9,,,,,,,,,94.5,2351,-16.9,-18.5,,,,,85.1,1136,-10.7,-38.7
Rodriguez, Eduardo,593958,2022,L,91.7,2173,6.9,-18,84.4,2172,-3,-38.6,85.5,1873,16.5,-30.7,,,,,91.7,2148,13.9,-22.2,88.7,2192,-1.1,-24.9,,,,
Peralta, Wandy,593974,2022,L,95.4,2218,13.5,-16,84.3,2241,-1.9,-31.3,88.6,2184,17.3,-30,,,,,95.4,2186,17,-20.4,,,,,,,,
Gustave, Jandel,594311,2022,R,96.1,2489,-9.9,-15.9,84.9,2379,7.7,-36.9,,,,,,,,,95.9,2379,-16.1,-22.9,,,,,,,,
Mayers, Mike,594577,2022,R,93.5,2295,-11,-15,84.2,2145,4.1,-38.6,86.7,1574,-15.7,-30.1,77.2,2404,9.6,-56.7,92,2054,-15.9,-23.9,88.3,2288,1.8,-27.5,,,,
Moll, Sam,594580,2022,L,,,,,77.2,3182,-17.3,-43.9,,,,,,,,,93.3,2523,13.2,-27.9,,,,,,,,
deGrom, Jacob,594798,2022,R,98.9,2516,-9.5,-11.3,87.2,2580,3.6,-26.4,92,1613,-13.2,-26.1,83.4,2691,7.3,-41.6,,,,,,,,,,,,
Gonzales, Marco,594835,2022,L,88.4,1986,12.2,-20.3,83.1,,,,79.4,2114,17.3,-36.7,76.6,2114,-6.3,-59.8,,,,,86.1,2030,2.3,-25.2,,,,
Okert, Steven,595345,2022,L,93.7,2235,10,-16.5,,2486,-10.2,-35.9,,,,,,,,,,,,,,,,,,,,
Beede, Tyler,595881,2022,R,95.8,2081,-11,-16.8,80.9,2068,1.5,-32.7,84.8,1617,-15.6,-34.3,79.1,2060,8.7,-56.4,95.6,2127,-15.7,-20.8,,,,,,,,
Junis, Jakob,596001,2022,R,90.8,2210,-4.5,-20.4,85.4,2475,13.3,-38.9,84.7,1395,-9.8,-33.3,,,,,91.9,2189,-12.9,-24.1,85.6,2427,6.1,-32.4,,,,
Norris, Daniel,596057,2022,L,91.2,2351,7.4,-15.5,,2629,-13.4,-42.6,86.7,1426,13.1,-37.3,76.1,2402,-6.7,-61.2,90.9,2252,15.7,-22.7,,,,,,,,
Peters, Dillon,596071,2022,L,92.9,2305,4.8,-15.1,87.1,2377,-3.8,-38.8,84.8,1543,12.6,-28.1,77.3,2906,-11.7,-56.6,92.5,2190,13.4,-19.3,,,,,,,,
Stephenson, Robert,596112,2022,R,96.8,2389,-11.4,-14,84.8,2914,5.2,-41.3,,,,,77.5,2936,11.5,-56.3,,,,,,,,,88.1,1521,-11.2,-27.4
Weaver, Luke,596133,2022,R,94.9,2372,-8.8,-14.1,86.2,2291,4.8,-41,86.9,1664,-14.6,-30.7,80.1,2264,5.7,-51.3,94.7,2332,-15.6,-15.1,88.1,2327,0.5,-26.8,,,,
Gomber, Austin,596295,2022,L,91,2156,6.3,-15.6,83.4,2391,-5,-34.7,82,1644,9.8,-29.8,75.8,2497,-7,-61.6,,,,,,,,,,,,
Barnes, Matt,598264,2022,R,95,2249,-10.9,-13.7,84.7,,,,87.2,2061,-18.1,-27.8,84.1,2049,3.7,-48.9,,,,,,,,,,,,
Ramirez, Noe,598287,2022,R,89.7,2187,-10.4,-22.6,84.8,,,,84.1,2023,-14.3,-43.4,78,2524,9.8,-46.2,,,,,,,,,,,,
Leclerc, Jose,600917,2022,R,96.5,2639,-4,-11.4,86.6,2583,9.5,-37.8,89.7,2153,-13.5,-23.1,,,,,,,,,89.2,2781,5.1,-30.8,,,,
Machado, Andres,600921,2022,R,95.6,2113,-7,-13.6,82.2,2010,5.1,-32.6,88.9,1519,-11.6,-29.4,,,,,95,2039,-15.4,-18.7,,,,,,,,
Pivetta, Nick,601713,2022,R,93.4,2310,-5.1,-10.9,83.2,2319,5.8,-33.6,87.1,1170,-8.3,-27.5,77.2,2710,7.9,-65.3,,,,,,,,,,,,
Barlow, Scott,605130,2022,R,93.6,2394,-3.8,-19.1,,2473,8.1,-39.4,,,,,78.6,2513,16.2,-53.4,92.6,2129,-13.7,-25.6,,,,,,,,
Bassitt, Chris,605135,2022,R,93.2,2191,-5.6,-17.8,87.2,2331,12.8,-43.6,85.4,1824,-16.2,-30.9,71.6,2330,14.9,-68,92.8,2117,-16.1,-22.5,89.1,2262,2.5,-25.6,,,,
Brebbia, John,605154,2022,R,94.4,2309,-10.1,-13.4,87.6,2548,5.9,-35.4,,,,,,,,,,,,,,,,,,,,
Bundy, Dylan,605164,2022,R,89,2352,-4.5,-15.3,88,2404,5.3,-44.4,81.1,1361,-12.2,-35.3,72.2,2148,8.2,-63.4,89.7,2194,-12.1,-17,,,,,,,,
Chafin, Andrew,605177,2022,L,91.6,2138,9.6,-17.3,82.7,2485,-0.2,-40.7,84.7,1759,13,-25.3,,,,,91.6,2106,15,-20.6,,,,,,,,
Clevinger, Mike,605182,2022,R,93.6,2300,-8.7,-14.2,87.6,2447,15.6,-44.6,86.3,1554,-14.4,-26.6,76.8,2231,6.5,-57.4,93.2,2242,-14,-16.6,86.6,2472,4.3,-31.3,,,,
Cotton, Jharel,605194,2022,R,92.7,2263,-8.3,-13,86.2,2440,12.7,-46.3,79.7,2392,-13.5,-36.8,76.2,2614,3.5,-62.8,,,,,,,,,,,,
Davies, Zach,605200,2022,R,,,,,84.4,2504,15.9,-52.4,79.7,1672,-14,-34.6,74.7,2583,10.7,-62.3,89.6,2084,-14.8,-21.7,87.6,2148,-4.8,-22.4,,,,
Edwards Jr., Carl,605218,2022,R,94.6,2522,1.7,-14.2,81.7,,,,90.6,1654,-12.3,-23.4,80.2,2120,7.9,-52.7,,,,,,,,,,,,
Fulmer, Michael,605242,2022,R,94.2,2301,-4,-15,92.6,2415,4.2,-26.7,86.5,1503,-13.3,-32.5,78.9,2409,12.9,-56.6,94.5,2188,-15,-20.2,,,,,,,,
Holmes, Clay,605280,2022,R,98,2266,-8.6,-17,,2561,11.1,-39.2,,,,,,,,,97,2208,-16.9,-23.9,,,,,,,,
Houser, Adrian,605288,2022,R,94.3,2214,-9.4,-15.5,82,2265,6.1,-36.5,85.4,1548,-15,-30.7,81.1,1984,6.7,-55.6,93.8,2077,-16.2,-22.6,,,,,,,,
Lopez, Jorge,605347,2022,R,97.3,2068,-10.3,-13.7,88,2369,7.7,-34.5,90,1699,-15.8,-30.8,84.1,2449,9.2,-50.8,97.7,1990,-17.2,-20.6,,,,,,,,
Musgrove, Joe,605397,2022,R,92.9,2559,-4.1,-18.3,83.1,2715,12.8,-41.8,86.5,1974,-11.4,-32.7,81.3,2722,9.6,-55.5,92.4,2436,-12.4,-22.9,90.1,2581,1.6,-24.5,,,,
Nola, Aaron,605400,2022,R,92.8,2308,-13.1,-16.6,79.9,,,,85.9,1482,-15.2,-33.8,78.6,2589,14.4,-55.7,92.2,2198,-17,-22.6,86.8,2212,0.9,-29.1,,,,
Romano, Jordan,605447,2022,R,96.9,2289,-5.3,-11.2,84.7,2082,4.2,-36.9,,,,,,,,,96.5,2357,-12.2,-10.5,,,,,,,,
Snell, Blake,605483,2022,L,95.8,2434,5.2,-11.2,81.8,2389,-4.1,-29.9,87.1,1899,13.7,-26.1,81.4,2297,-12.2,-51,,,,,,,,,,,,
Springs, Jeffrey,605488,2022,L,91.4,2254,11.4,-15.3,83.9,2188,-4.5,-32.4,81.1,1415,13.7,-34.1,,,,,90.1,2316,18.5,-20,,,,,,,,
Thompson, Zach,605507,2022,R,92.3,2386,-2,-18.1,84.6,,,,85.7,1864,-12.1,-31.6,76.6,2244,5,-56.5,92.2,2230,-9.7,-24.1,86.8,2580,3.4,-32.1,,,,
Warren, Art,605521,2022,R,93.5,2250,-5.7,-15.5,81.3,2513,8.2,-36.4,,,,,,,,,,,,,,,,,,,,
Wendelken, J.B.,605525,2022,R,95,2442,-3.2,-16,84.3,2660,6.8,-38.8,85.5,1628,-15.4,-32.6,80.4,2576,12.1,-58.1,94.4,2256,-16.3,-21.8,,,,,,,,
Wisler, Matt,605538,2022,R,89.7,1953,-10.1,-17.1,,2477,8.1,-43.7,,,,,,,,,,,,,,,,,,,,
Woodruff, Brandon,605540,2022,R,96.3,2350,-6,-12.1,,2408,3.8,-32,86.1,2008,-15.8,-28,84,2497,2.5,-46,95.8,2286,-14,-15.9,,,,,,,,
Gallegos, Giovanny,606149,2022,R,94.3,2386,-7.5,-12.3,83.3,2475,0.3,-36.5,87.1,1910,-9.7,-19.7,,,,,,,,,,,,,,,,
Montero, Rafael,606160,2022,R,96.4,2335,-9.3,-13.8,87.1,2345,6,-32.6,91.1,2056,-16.9,-27.5,,,,,95.9,2233,-16.2,-21.4,,,,,,,,
Payamps, Joel,606303,2022,R,94.8,2422,-9,-14.7,85.8,2718,10.3,-44.4,88.9,1993,-16.6,-30.8,,,,,94.3,2267,-15.7,-21.8,,,,,,,,
Garcia, Jarlin,606424,2022,L,93.8,2201,14.8,-18.1,84.1,2251,-5.9,-39.1,85.2,2112,16.2,-27.8,,,,,,,,,,,,,,,,
Moronta, Reyes,606625,2022,R,95.3,2351,-6.1,-13.6,78.9,2491,12.8,-39.1,89,1943,-17,-29,,,,,,,,,,,,,,,,
Rodon, Carlos,607074,2022,L,95.5,2349,6,-12,,2447,-8.1,-38.6,84.6,1757,13.7,-27.4,79.8,2454,-6.4,-55.5,,,,,,,,,,,,
Weems, Jordan,607179,2022,R,96.8,2134,-6.8,-11.1,84,2234,6,-32.7,87.3,992,-10,-29.5,80.1,2185,16.2,-44.9,,,,,,,,,,,,
Fedde, Erick,607200,2022,R,,,,,79.1,,,,86,1516,-14.6,-34.7,78.4,2389,14.7,-46.9,92.5,1877,-8.8,-22.1,89.2,2123,1.8,-26.7,,,,
Krehbiel, Joey,607216,2022,R,94.4,2175,-9.9,-15,82.9,2478,13.1,-44.7,84.3,1495,-14.1,-36.2,,,,,,,,,86.3,2465,6.6,-31.6,,,,
Garrett, Amir,607237,2022,L,94.2,2227,11.2,-16.6,79.9,1848,-1.5,-32.8,,,,,,,,,93.4,2150,16.7,-22,,,,,,,,
Martinez, Nick,607259,2022,R,93.4,2336,-7.2,-14.3,79.5,,,,79.7,1718,-13.4,-38.2,81.7,2605,2.4,-58.4,93.3,2347,-14.9,-17.5,88.6,2380,1.7,-26.9,,,,
Banda, Anthony,607455,2022,L,95.2,2126,10.9,-15,79.7,1972,0.5,-36.7,86.6,1748,14.6,-31.6,81.1,1998,-7,-48.8,93,2047,17.6,-22.8,,,,,,,,
Bummer, Aaron,607481,2022,L,,,,,76,2488,-17.9,-46,89,1883,18.2,-35.4,,,,,94.5,2062,14.1,-28.9,86.2,2388,-4.5,-37.1,,,,
Freeland, Kyle,607536,2022,L,90.3,2389,5.9,-20,,2376,-1.4,-32.7,84.8,1485,10.9,-30.6,80.9,2446,-4.3,-48.5,89.6,2358,13,-27.5,,,,,,,,
Lugo, Seth,607625,2022,R,94.4,2243,-8.3,-13.4,90.3,2441,2.7,-27.7,87.6,1774,-15.1,-25.9,79.8,3253,10.7,-60.8,94.4,2317,-15.6,-18.3,,,,,,,,
Estevez, Carlos,608032,2022,R,97.5,2241,-10,-14.1,86,2280,5.1,-35.1,88.4,1660,-10.6,-28.4,,,,,,,,,,,,,,,,
De Jong, Chase,608328,2022,R,92.8,2412,-1.2,-13.2,85,2428,4.4,-40.6,86.4,1646,-12.6,-26.2,77.7,2557,6.3,-59.4,93.4,2416,-8.6,-11,,,,,,,,
Fried, Max,608331,2022,L,94,2137,1.7,-18.5,87.4,2393,-3.8,-34.9,86.5,1411,12.9,-32.4,74.3,2747,-9.5,-66.8,93.6,2036,11,-21.6,,,,,,,,
Giolito, Lucas,608337,2022,R,92.6,2172,-5.4,-13.9,82.9,1959,3.5,-37.2,81,1448,-11.3,-30.5,79.2,2348,7.2,-56.3,,,,,,,,,,,,
Irvin, Cole,608344,2022,L,90.7,1975,9.8,-17.1,,1960,9.7,-19.3,83,1554,13.3,-32.5,77.5,2074,-8.2,-49.6,90.3,1943,14.3,-21.5,87.1,2012,1.3,-28,,,,
Knebel, Corey,608349,2022,R,95.6,2369,-3.8,-12.5,87.3,2543,18.5,-49.3,,,,,78.7,2832,10.3,-62.5,,,,,,,,,,,,
Wacha, Michael,608379,2022,R,93,2122,-6.7,-12.4,83.9,,,,84.3,1583,-12.5,-26.2,74.7,2173,10.3,-58.8,92.6,2052,-11.7,-15.3,88.8,2052,1.2,-23.4,,,,
Marquez, German,608566,2022,R,95.6,2138,-8.9,-16.6,88.9,2389,0.3,-31.1,87.8,1595,-10.2,-27.7,86.5,2577,1.1,-38.3,95.1,2111,-14.3,-21,,,,,,,,
Duffey, Tyler,608648,2022,R,92.3,2276,-4.4,-16.4,85.4,,,,79.1,1863,-12.3,-33.5,82.7,2463,8.2,-49,92.4,2402,-14.2,-24.5,,,,,,,,
Graveman, Kendall,608665,2022,R,96.6,2373,-9,-13.9,,2495,5.2,-32.2,90.7,1764,-14,-28.2,83.3,2494,6.9,-44.3,96.5,2228,-15.5,-18.9,,,,,,,,
Leone, Dominic,608678,2022,R,95.5,2323,-6.1,-14.4,85.5,2453,5.1,-40.5,,,,,,,,,94.8,2269,-12.7,-20.4,91.4,2404,3.5,-24.8,,,,
Stratton, Chris,608717,2022,R,92.8,2631,-3.6,-16.9,85.9,2868,6.6,-35.1,86.8,2228,-11.6,-32.4,80.8,3188,16.1,-50.2,92.9,2512,-12.1,-21.2,,,,,,,,
Suter, Brent,608718,2022,L,86.4,2147,-3.8,-23.7,79.8,,,,77.2,1477,10,-34.8,78.8,2305,-6.3,-44.8,87.4,2085,10.3,-23.3,,,,,,,,
Voth, Austin,608723,2022,R,93.5,2357,-7.2,-13.9,88,2743,12.4,-32.2,87.2,1925,-11.9,-24.4,77.5,2974,16,-57.2,,,,,89.5,2442,2.5,-26.6,,,,
Castro, Miguel,612434,2022,R,,,,,85.2,2821,10.4,-35.1,92.4,1821,-17.5,-31.4,,,,,97.9,2128,-17.4,-23.3,,,,,,,,
Ruiz, Jose,614179,2022,R,96.9,2354,-7.1,-12,85.5,,,,89.9,1795,-15.4,-25.8,86.3,2283,2,-42,96,2303,-14.2,-19.8,,,,,,,,
Quantrill, Cal,615698,2022,R,93.4,2165,-6.8,-13.7,87.9,,,,85.3,1532,-12.3,-30,82.7,2449,3.7,-42.9,93.6,2105,-12,-16.3,88.5,2238,2.7,-27.8,,,,
Sawamura, Hirokazu,617228,2022,R,95.9,2112,-8.8,-14,82.2,2298,7,-32.3,,,,,,,,,,,,,,,,,92,1418,-8.6,-29
Cuas, Jose,621016,2022,R,,,,,82.7,2669,4,-41.3,87.2,1669,-14.3,-37.4,,,,,93.1,2460,-16.9,-31.2,,,,,,,,
Wilson, Steven,621051,2022,R,95.1,2366,-8,-12.1,82.1,2673,11.1,-38.8,85.1,2122,-16.2,-28.7,,,,,,,,,,,,,,,,
Rucker, Michael,621074,2022,R,94.7,2270,-7.5,-14.5,84.3,2459,3.8,-37.2,90,1787,-14.6,-29.5,80.6,2523,15.6,-52,,,,,88.8,2250,0.4,-13,,,,
Kaprielian, James,621076,2022,R,94,2006,-7.6,-15.5,81.8,2286,4.5,-34.3,85.2,1365,-8.4,-35.5,79.3,2496,7.3,-51.9,94.4,1925,-15.8,-20.3,,,,,,,,
Eflin, Zach,621107,2022,R,93.1,2176,-10.4,-17.6,85.4,2133,3.9,-32.3,87,1699,-13.8,-27.8,78.3,2381,12,-49.9,92.7,2048,-17,-24.6,90,2150,-0.8,-22.2,,,,
Buehler, Walker,621111,2022,R,95.2,2267,-5.9,-13.3,88.2,2671,13.9,-37.2,90.5,1550,-13.7,-28.3,79.2,2662,11.5,-57.7,94.9,2167,-13.3,-18.4,91.5,2411,4.5,-23.4,,,,
Blackburn, Paul,621112,2022,R,91.5,2135,-5.5,-16.2,,2567,15.4,-52.6,86,1811,-13.1,-29.5,78.8,2605,8.4,-61.1,91.7,2001,-12.8,-22.5,87.1,2484,6.1,-30.9,,,,
McCullers Jr., Lance,621121,2022,R,,,,,79.8,2858,13.2,-33.5,87,1717,-17.3,-38,82.7,3013,13.6,-50.6,93.1,2106,-13.4,-26.1,88.3,2567,3.8,-29.8,,,,
Alvarado, Jose,621237,2022,L,97.8,2149,5.6,-12.7,89.6,,,,,,,,86.5,2465,0.7,-43.2,99.6,2093,12.7,-13.2,93.8,2207,-1.9,-25.5,,,,
Diaz, Edwin,621242,2022,R,99.1,2352,-13.5,-14.5,84.7,2274,1.5,-28.8,,,,,,,,,,,,,,,,,,,,
Berrios, Jose,621244,2022,R,94,2241,-10.6,-16.6,,,,,84.6,1522,-14.4,-33.9,82.9,2285,15.8,-44.3,93.9,2115,-16.6,-20.8,,,,,,,,
